P_id,Name,Price,Colour,Brand,RatingCount,Avg_rating
17048614,Khushal K Women Black Ethnic Motifs Printed Kurta With Palazzos & With Dupatta,5099,Black,Khushal K,4522,4.42
16524740,InWeave Women Orange Solid Kurta With Palazzos & Floral Print Dupatta,5899,Orange,InWeave,1081,4.12
16331376,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta With Trousers & With Dupatta,4899,Navy Blue,Anubhutee,1752,4.16
14709966,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,3699,Red,Nayo,4113,4.09
11056154,Ahika Women Black & Green Printed Straight Kurta,1350,Black,Ahika,21274,3.98
14046594,Libas Women Navy Blue Pure Cotton Floral Print Kurta With Palazzos & Dupatta,3599,Navy Blue,Libas,8695,4.44
14951330,Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta With Palazzos & With Dupatta,6000,Beige,Ahalyaa,1741,3.55
13791594,Anouk Women Yellow & White Printed Kurta With Palazzos,1999,Yellow,Anouk,7012,4.25
17048604,Khushal K Women Green & Pink Printed Pure Cotton Kurta With Palazzos & Dupatta,5299,Green,Khushal K,1590,4.27
10356859,Libas Floral Bliss Side Pocket Cotton Kurta Set,2499,Pink,Libas,12568,3.96
12413214,Varanga Women Mustard Yellow Floral Yoke Embroidered Straight Kurta,1999,Mustard,Varanga,2426,4.25
16600750,Ahika Women Teal Ethnic Motifs Yoke Design Kurta With Trousers & With Dupatta,3748,Teal,Ahika,1268,4.1
9867983,Vishudh Women Navy Blue Floral Printed Regular Pure Cotton Kurta With Palazzos,2149,Navy Blue,Vishudh,2676,4.03
14399798,Anouk Women Peach-Coloured Yoke Design Mirror-Work Kurta With Trousers & With Dupatta,3799,Peach,Anouk,904,4.21
15241816,Varanga Women Yellow & Peach-Coloured Floral Screen Printed Gotta Patti Straight Kurta,2799,Yellow,Varanga,1811,4.06
10808284,Ahika Floral Print Straight Cotton Kurta With Keyhole Neck,1198,Green,Ahika,16219,4.09
14376546,Anouk Women Black & Orange Bandhani Printed Kurta,1699,Black,Anouk,1086,4.37
15055304,Libas Women Blue Embroidered Panelled Kurta With Churidar & With Dupatta,4999,Blue,Libas,544,4.34
14649544,Jaipuri Bunaai Women Blue & Orange Ethnic Motifs Printed Kurta With Trousers & Dupatta,3999,Blue,Jaipuri Bunaai,1576,4.04
